iter	Passed	Remaining
0	12	6268
1	24	5985
2	35	5920
3	49	6109
4	64	6354
5	79	6513
6	95	6732
7	112	6914
8	127	6933
9	142	6972
10	157	6984
11	173	7048
12	188	7054
13	205	7131
14	222	7192
15	236	7163
16	253	7197
17	271	7265
18	288	7295
19	302	7261
20	317	7249
21	331	7211
22	346	7185
23	360	7144
24	374	7113
25	384	7018
26	395	6926
27	407	6860
28	418	6792
29	429	6732
30	442	6693
31	456	6678
32	470	6663
33	485	6651
34	501	6657
35	514	6634
36	528	6616
37	545	6626
38	549	6493
39	562	6465
40	578	6470
41	593	6467
42	609	6472
43	624	6473
44	638	6452
45	651	6429
46	663	6398
47	675	6364
48	689	6346
49	702	6326
50	716	6312
51	733	6315
52	748	6309
53	762	6299
54	777	6288
55	789	6261
56	801	6232
57	814	6208
58	826	6179
59	838	6147
60	850	6121
61	862	6095
62	874	6069
63	886	6040
64	897	6006
65	910	5985
66	921	5953
67	932	5923
68	944	5898
69	956	5874
70	961	5807
71	972	5781
72	983	5752
73	995	5731
74	1007	5707
75	1019	5688
76	1031	5665
77	1040	5630
78	1049	5594
79	1058	5557
80	1066	5519
81	1077	5493
82	1091	5483
83	1104	5468
84	1119	5464
85	1131	5448
86	1145	5438
87	1160	5432
88	1175	5426
89	1189	5417
90	1203	5409
91	1216	5394
92	1228	5377
93	1240	5359
94	1243	5300
95	1256	5289
96	1270	5276
97	1283	5263
98	1296	5252
99	1309	5239
100	1323	5229
101	1338	5221
102	1354	5218
103	1367	5207
104	1382	5201
105	1397	5193
106	1410	5179
107	1424	5171
108	1438	5161
109	1451	5147
110	1465	5134
111	1477	5116
112	1489	5102
113	1502	5088
114	1515	5074
115	1527	5057
116	1540	5041
117	1550	5019
118	1559	4992
119	1569	4968
120	1581	4953
121	1593	4938
122	1605	4919
123	1617	4904
124	1630	4891
125	1645	4882
126	1659	4872
127	1671	4858
128	1685	4846
129	1697	4831
130	1709	4816
131	1721	4798
132	1732	4780
133	1745	4766
134	1756	4749
135	1768	4732
136	1780	4717
137	1792	4702
138	1805	4688
139	1818	4674
140	1831	4662
141	1836	4630
142	1849	4616
143	1862	4604
144	1874	4590
145	1887	4577
146	1899	4562
147	1912	4549
148	1926	4537
149	1939	4525
150	1952	4511
151	1965	4499
152	1978	4486
153	1990	4472
154	2004	4460
155	2016	4447
156	2029	4434
